"pcp-dstat 6.2.2 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","baldr",,,,"User:","peter"
"Cmdline:","dstat -d --output=dstat_single_ssd_write.txt",,,,"Date:","17 Feb 2025 22:11:00 EST"
"dsk/total",
"dsk/total:read","dsk/total:writ"
0,6310655.352
0,6396866.409
0,6296247.134
0,6387366.816
0,6390191.343
0,6287247.724
0,6386504.283
0,6290498.185
0,6389691.473
0,6391411.735
0,6299650.172
0,6396967.932
0,6273579.351
0,6232120.062
0,6196882.914
0,6246525.705
0,6285771.453
0,6273726.395
0,6185243.331
0,6275276.360
0,6280352.012
0,6220665.152
0,6226793.690
0,6080060.708
0,6072297.966
0,6046502.323
0,6252689.173
0,6311242.426
0,6122300.788
0,6066651.064
0,6200744.644
0,6199662.382
0,6155335.067
0,6156279.396
0,6307959.952
0,6289095.547
0,6305661.404
0,6342671.248
0,6244580.987
0,6342041.376
0,6343038.391
0,6126598.739
0,6201488.241
0,6160589.045
0,5945905.820
0,5123167.214
0,2555963.454
0,1547493.539
0,1612209.198
0,1574528.608
0,1586684.086
0,1616081.255
0,1521128.085
0,1591662.440
0,1569784.848
0,1490545.081
0,1618415.959
0,1592353.236
0,1552877.881
0,1628294.332
0,1561583.428
0,1591526.855
0,1620082.769
0,1496212.490
0,1573531.135
0,1568758.113
0,1567967.109
0,1593729.913
0,1583744.085
0,1574050.507
0,1610437.165
0,1547960.636
0,1575667.729
0,1564201.443
0,1455288.914
0,1610684.611
0,1585944.807
0,1530239.186
0,1660920.571
0,1646303.053
0,1658490.961
0,1705196.432
0,1585228.432
0,1675721.694
0,1638777.007
0,1563170.009
0,1690020.467
0,1647027.623
0,1660757.313
0,1709700.743
0,1580925.187
0,1691580.923
0,1657498.688
0,1636903.057
0,1675313.193
0,1552708.595
0,1628307.608
0,1694917.075
0,1606111.359
0,1673793.577
0,1642926.183
0,1643991.808
0,1701500.859
0,1593090.552
0,1760336.835
0,1701678.053
0,1641767.210
0,1723373.003
0,1614655.240
0,1728502.891
0,2712464.726
0,6111275.287
0,5989874.830
0,6044863.143
0,6138889.513
0,6138353.375
0,6102075.938
0,6187791.580
0,6244489.644
0,6040297.517
0,5919869.798
0,6050036.366
0,6012143.137
0,6042728.900
0,6088522.146
0,6099389.137
0,6083773.006
0,5151228.420
0,2448111.290
0,1575592.752
0,1616207.000
0,1567548.065
0,1613942.318
0,1624668.257
0,1558241.441
0,1633432.013
0,1594482.281
0,1531104.932
0,1594815.751
0,1577874.782
0,1588231.575
0,1625401.859
0,1565894.832
0,1626481.705
0,1610047.927
0,1574636.761
0,1599548.043
0,1559544.750
0,1569732.605
0,1628465.966
0,1546463.564
0,1634834.891
0,1619325.661
0,1553510.005
0,1618397.352
0,1594778.801
0,1540527.927
0,1591417.931
0,1558017.393
0,1600084.283
0,1721496.335
0,1634890.249
0,1693737.783
0,1665279.665
0,1651008.943
0,1706688.861
0,1610615.975
0,1670071.783
0,1661824.399
0,1657164.697
0,1698884.078
0,1643194.160
0,1668728.325
0,1702491.631
0,1634043.595
0,1650199.461
0,1483144.889
0,1522526.836
0,1504912.640
0,1513877.716
0,1529644.241
0,1491737.010
0,1469922.705
0,1563169.634
0,1501712.322
0,1530355.309
0,1560808.383
0,1471771.037
0,1526406.506
0,1536240.576
0,1444434.677
0,1484187.237
0,1518555.630
0,1511070.025
0,1603209.380
0,1881943.004
0,2606826.014
0,1568552.671
0,1618039.135
0,1512445.179
0,1541467.646
0,1588432.997
0,1533657.370
0,1613362.003
0,1618508.543
0,1535949.122
0,1645519.490
0,1667430.975
0,1637700.043
0,1666436.278
0,1564446.964
0,1662618.011
0,1673758.855
0,1605045.014
0,1696984.034
0,1641778.469
0,1646128.604
0,1698173.468
0,1606321.471
0,1693269.353
0,1640411.288
0,1593958.008
0,1641766.775
0,1629720.149
0,1698358.666
0,1686834.249
0,1602839.158
0,1686097.609
0,1625289.166
0,1661111.089
0,1693848.878
0,1569151.265
0,1638956.067
0,1625957.747
0,1621106.188
0,1687262.172
0,1622562.326
0,1659603.746
0,1683256.177
0,1583249.955
0,1707075.540
0,1653372.601
0,1612572.570
0,1640260.114
0,1612786.462
0,1736980.993
0,1774146.116
0,1668357.176
0,1782620.461
0,1688349.178
0,1742977.195
0,1741434.938
0,1688466.540
0,1762516.753
0,1730994.252
0,2299259.470
0,4289740.083
0,6144767.494
0,6238977.872
0,6200733.865
0,6203665.911
0,6253009.431
0,6156633.080
0,6195477.970
0,6246525.176
0,6248120.823
0,6187668.063
0,6242794.497
0,4931278.966
0,1682002.083
0,1613600.392
0,1598481.718
0,1565797.803
0,1613183.506
0,1571759.406
0,1551095.163
0,1598958.664
0,1528966.426
0,1617426.936
0,1605283.204
0,1548804.167
0,1616017.410
0,1566961.951
0,1572377.557
0,1551491.348
0,1520886.035
0,1570135.989
0,1612110.621
0,2550294.162
0,1907820.538
0,1629685.892
0,1597824.467
0,1566659.858
0,1594402.713
0,1552551.793
0,1578635.547
0,1606916.064
0,1553474.833
0,1615609.987
0,1651919.466
0,1621256.153
1066.814,535608.326
