"pcp-dstat 6.2.2 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","baldr",,,,"User:","peter"
"Cmdline:","dstat -d --output=dstat_single_ssd_write2.txt",,,,"Date:","17 Feb 2025 22:16:52 EST"
"dsk/total",
"dsk/total:read","dsk/total:writ"
0,6449114.862
0,6348235.703
0,6446929.471
0,6396684.322
0,6404090.998
0,6410468.095
0,6387731.899
0,6442442.957
0,6345226.501
0,6453605.936
0,6346878.431
0,6449123.943
0,6395876.922
0,6397214.075
0,6444560.068
0,6348457.094
0,6441467.927
0,6295407.628
0,6449382.525
0,6368620.853
0,6415522.654
0,6395816.518
0,6391216.206
0,6445151.841
0,6351767.613
0,6441726.570
0,6343956.790
0,6448204.844
0,6397978.418
0,6395238.048
0,6442729.003
0,6345487.368
0,2699363.545
0,1475847.122
0,1490216.722
0,1481256.993
0,1474303.699
0,1544456.862
0,1488344.805
0,1514920.771
0,1546638.548
0,1470841.710
0,1509974.045
0,1524053.228
0,1441551.856
0,1531150.632
0,1504717.509
0,1463198.539
0,1532615.475
0,1517796.504
0,1461466.383
0,1529882.820
0,1501996.690
0,1460505.991
0,1530076.799
0,1496749.343
0,1462048.066
0,1540638.943
0,1486884.713
0,1492052.837
0,1539898.700
0,1488251.038
0,1505138.363
0,1526336.584
0,1456194.511
0,1503430.877
0,1521589.027
0,1447968.855
0,1538760.331
0,1537005.669
0,1465050.056
0,1543338.426
0,1515255.192
0,1437052.734
0,1532272.346
0,1487929.376
0,1454627.353
0,1512291.604
0,1512262.355
0,1477827.442
0,1531130.179
0,1505761.979
0,1494224.869
0,1526129.567
0,1466543.773
0,1488529.651
0,1519848.959
0,1456082.669
0,1544708.593
0,1535745.513
0,1459029.687
0,1536490.030
0,1524944.402
0,1437811.399
0,1503269.082
0,1521992.929
0,1425682.051
0,1525470.638
0,1528285.270
0,1458317.757
0,1533251.537
0,1498460.852
0,1480697.862
0,1527582.423
0,1496997.985
0,1469818.881
0,1523863.964
0,1484665.863
0,1512782.494
0,1539496.757
0,1485418.347
0,1534270.072
0,1538228.079
0,1449008.288
0,1532920.118
0,1515788.576
0,1437593.483
0,1535828.589
0,1550752.477
0,1465120.855
0,1541833.819
0,1535300.324
0,1480683.175
0,1530920.042
0,1489495.073
0,1476303.215
0,1524722.353
0,1491611.261
0,1505744.054
0,1542157.925
0,1505442.199
0,1535996.109
0,1537282.169
0,1442167.230
0,1534631.391
0,1542235.626
0,1441833.737
0,1534595.470
0,1544658.600
0,1462357.884
0,1552946.785
0,1535825.519
0,1461835.043
0,1523688.320
0,1500884.042
0,1463128.995
0,1523542.292
0,1493121.421
0,1509694.880
0,1547345.995
0,1471153.067
0,1526452.677
0,1546963.282
0,1467412.670
0,1526599.914
0,1527037.907
0,1447548.387
0,1520881.034
0,1557514.545
0,1461902.691
0,1547784.903
0,1542362.135
